Date,Symbols,Close,High,Low,Open,Volume
2021-01-08,MSFT.US,218.2,219.14,215.62,217.26,23106359.0
2021-01-08,TTST.UK,9.3879,9.525,9.3289,9.525,13354.0
2021-01-11,AMZN,3114.21,3156.3841,3110.0,3148.01,3669095.0
2021-01-11,GOOGL,1756.29,1784.38,1752.14,1777.02,1740618.0
2021-01-11,FB,256.84,263.47,255.9,260.48,30412286.0
2021-01-11,TWTR.US,48.18,49.49,45.15,47.09,61647641.0
2021-01-11,MSFT.US,216.08,217.49,215.32,217.05,23197776.0
2021-01-11,TTST.UK,9.1129,9.2111,9.054,9.054,23654.0
2021-01-12,AMZN,3120.83,3142.1418,3086.0,3120.0,3514582.0
2021-01-12,GOOGL,1737.43,1767.9,1716.375,1745.36,1476715.0
2021-01-12,FB,251.09,259.72,250.3,256.63,26449943.0
2021-01-12,TWTR.US,47.04,49.13,46.56,48.55,26288495.0
2021-01-12,MSFT.US,213.54,215.69,211.93,215.09,23401406.0
2021-01-12,TTST.UK,9.1718,9.2504,9.1325,9.2504,4764.0
2021-01-13,AMZN,3165.89,3189.95,3122.08,3128.44,3321244.0
2021-01-13,GOOGL,1747.25,1756.39,1727.32,1727.32,1171590.0
2021-01-13,FB,251.64,253.95,249.2,251.55,19528938.0
2021-01-13,TWTR.US,47.22,48.39,47.0217,48.09,19097220.0
2021-01-13,MSFT.US,214.93,215.35,212.54,212.63,20218467.0
2021-01-13,TTST.UK,9.3093,9.3682,9.1522,9.2504,9083.0
2021-01-14,AMZN,3127.47,3177.9999,3120.59,3167.52,3070919.0
2021-01-14,GOOGL,1730.92,1767.5499,1726.07,1748.87,1460617.0
2021-01-14,FB,245.64,255.03,244.61,253.4,29739404.0
2021-01-14,TWTR.US,45.79,47.66,45.43,47.66,29748666.0
2021-01-14,MSFT.US,211.63,216.05,211.36,214.5,29538689.0
2021-01-14,TTST.UK,9.3486,9.4468,9.2504,9.2897,18010.0
2021-01-15,AMZN,3104.25,3142.545,3095.17,3123.02,4243995.0
2021-01-15,GOOGL,1727.62,1747.62,1711.71,1729.02,1572214.0
2021-01-15,FB,251.36,253.86,247.16,247.9,24942930.0
2021-01-15,TWTR.US,45.18,46.2,45.08,46.1,25937338.0
